year,state_name,state_abbrev,percent_protected,protected_area_ha,state_colour
2008,Australian Capital Territory,ACT,54.93,129525,#0047AB
2008,New South Wales,NSW,8.66,6936528,#87CEEB
2008,Northern Territory,NT,8.99,12122199,#C65A00
2008,Queensland,QLD,5.98,10339235,#7A1831
2008,South Australia,SA,26.09,25679638,#D50032
2008,Tasmania,TAS,41.0,2804767,#006A4E
2008,Victoria,VIC,17.26,3927268,#003B5C
2008,Western Australia,WA,14.46,36547956,#FFD100
2010,Australian Capital Territory,ACT,54.93,129530,#0047AB
2010,New South Wales,NSW,8.84,7081783,#87CEEB
2010,Northern Territory,NT,10.98,14795437,#C65A00
2010,Queensland,QLD,6.65,11505188,#7A1831
2010,South Australia,SA,27.68,27246888,#D50032
2010,Tasmania,TAS,41.6,2845157,#006A4E
2010,Victoria,VIC,17.54,3991600,#003B5C
2010,Western Australia,WA,14.1,35643205,#FFD100
2012,Australian Capital Territory,ACT,55.0,129686,#0047AB
2012,New South Wales,NSW,9.06,7255355,#87CEEB
2012,Northern Territory,NT,18.82,25365918,#C65A00
2012,Queensland,QLD,7.49,12948848,#7A1831
2012,South Australia,SA,29.84,29371586,#D50032
2012,Tasmania,TAS,42.48,2905460,#006A4E
2012,Victoria,VIC,17.89,4069852,#003B5C
2012,Western Australia,WA,14.52,36692110,#FFD100
2014,Australian Capital Territory,ACT,55.22,130214,#0047AB
2014,New South Wales,NSW,9.1,7293630,#87CEEB
2014,Northern Territory,NT,18.64,25129386,#C65A00
2014,Queensland,QLD,8.16,14108222,#7A1831
2014,South Australia,SA,29.87,29394607,#D50032
2014,Tasmania,TAS,44.09,3015707,#006A4E
2014,Victoria,VIC,17.63,4012124,#003B5C
2014,Western Australia,WA,21.52,54375439,#FFD100
2016,Australian Capital Territory,ACT,55.48,130830,#0047AB
2016,New South Wales,NSW,9.3,7448535,#87CEEB
2016,Northern Territory,NT,24.87,33514060,#C65A00
2016,Queensland,QLD,8.44,14601431,#7A1831
2016,South Australia,SA,30.06,29588883,#D50032
2016,Tasmania,TAS,42.31,2894327,#006A4E
2016,Victoria,VIC,17.22,3916792,#003B5C
2016,Western Australia,WA,23.26,58777768,#FFD100
2018,Australian Capital Territory,ACT,55.65,131242,#0047AB
2018,New South Wales,NSW,9.31,7455652,#87CEEB
2018,Northern Territory,NT,24.86,33505470,#C65A00
2018,Queensland,QLD,8.68,15014650,#7A1831
2018,South Australia,SA,30.13,29656514,#D50032
2018,Tasmania,TAS,42.35,2896817,#006A4E
2018,Victoria,VIC,17.5,3981165,#003B5C
2018,Western Australia,WA,23.39,59100226,#FFD100
2020,Australian Capital Territory,ACT,55.86,131721,#0047AB
2020,New South Wales,NSW,9.61,7696641,#87CEEB
2020,Northern Territory,NT,24.86,33505136,#C65A00
2020,Queensland,QLD,8.71,15070242,#7A1831
2020,South Australia,SA,30.13,29654594,#D50032
2020,Tasmania,TAS,42.3,2893241,#006A4E
2020,Victoria,VIC,17.57,3996874,#003B5C
2020,Western Australia,WA,23.3,58887255,#FFD100
2022,Australian Capital Territory,ACT,55.94,131904,#0047AB
2022,New South Wales,NSW,10.2,8169918,#87CEEB
2022,Northern Territory,NT,24.88,33536325,#C65A00
2022,Queensland,QLD,8.83,15275846,#7A1831
2022,South Australia,SA,30.2,29721867,#D50032
2022,Tasmania,TAS,42.31,2893895,#006A4E
2022,Victoria,VIC,17.64,4012888,#003B5C
2022,Western Australia,WA,30.13,76142710,#FFD100
2024,Australian Capital Territory,ACT,55.93,131902,#0047AB
2024,New South Wales,NSW,10.44,8365056,#87CEEB
2024,Northern Territory,NT,24.64,33208738,#C65A00
2024,Queensland,QLD,9.36,16183153,#7A1831
2024,South Australia,SA,30.44,29963518,#D50032
2024,Tasmania,TAS,42.81,2928055,#006A4E
2024,Victoria,VIC,17.69,4023548,#003B5C
2024,Western Australia,WA,31.13,78674219,#FFD100
