ibra_code,ibra_name,states,label_lon,label_lat,anchor_lon,anchor_lat,total_shape_area,label_priority
GVD,Great Victoria Desert,SA/WA,131.202256,-29.128502,131.202256,-29.128502,422273538445.0,1
GSD,Great Sandy Desert,NT/WA,128.516834,-22.268507,128.516834,-22.268507,405870460684.0,2
MGD,Mitchell Grass Downs,NT/QLD,142.815538,-21.449465,142.815538,-21.449465,344057361941.6,3
CHC,Channel Country,NSW/NT/QLD/SA,140.770898,-26.088997,140.770898,-26.088997,306403544148.5,4
MUR,Murchison,WA,119.854671,-28.12141,119.854671,-28.12141,281484812248.0,5
SSD,Simpson Strzelecki Dunefields,NSW/NT/QLD/SA,137.352902,-26.06725,137.352902,-26.06725,281314345378.1,6
BBS,Brigalow Belt South,NSW/QLD,150.344726,-27.6257,150.344726,-27.6257,273422936826.0,7
TAN,Tanami,NT/WA,130.675618,-20.152622,130.675618,-20.152622,269613426881.2,8
MUL,Mulga Lands,NSW/QLD,145.863732,-28.251255,145.863732,-28.251255,252145438043.6,9
GUP,Gulf Plains,NT/QLD,140.617831,-18.366465,140.617831,-18.366465,232005691168.99,10
MDD,Murray Darling Depression,NSW/SA/VIC,141.248111,-34.846764,141.248111,-34.846764,199053870580.3,11
NUL,Nullarbor,SA/WA,128.263784,-30.730127,128.263784,-30.730127,196413921696.8,12
PIL,Pilbara,WA,118.30185,-21.781432,118.30185,-21.781432,182829194837.0,13
GAS,Gascoyne,WA,117.968799,-24.760173,117.968799,-24.760173,182799760924.0,14
GID,Gibson Desert,WA,125.630085,-24.683098,125.630085,-24.683098,158346950403.0,15
BBN,Brigalow Belt North,QLD,147.760062,-21.923748,147.760062,-21.923748,140009064199.0,16
CYP,Cape York Peninsula,QLD,142.542851,-13.582058,142.542851,-13.582058,134095982078.0,17
OVP,Ord Victoria Plain,NT/WA,129.905409,-17.226331,129.905409,-17.226331,132617942669.7,18
STP,Stony Plains,NT/SA,139.014577,-29.73167,139.014577,-29.73167,131603179613.03,19
COO,Coolgardie,WA,121.751816,-31.494801,121.751816,-31.494801,128538946300.0,20
GFU,Gulf Fall and Uplands,NT/QLD,135.542769,-16.525514,135.542769,-16.377226,126666732343.01,21
EIU,Einasleigh Uplands,QLD,144.387885,-18.257729,144.387885,-18.257729,122010325212.0,22
GAW,Gawler,SA,136.682043,-31.287242,136.682043,-31.287242,119507834303.0,23
LSD,Little Sandy Desert,WA,122.566219,-23.751801,122.566219,-23.751801,112531382780.0,24
DRP,Darling Riverine Plains,NSW/QLD,147.929899,-30.966469,147.929899,-30.966469,106620412197.2,25
STU,Sturt Plateau,NT,133.303676,-16.618046,133.303676,-16.618046,105099098915.0,26
CER,Central Ranges,NT/SA/WA,128.674357,-25.17529,128.674357,-25.17529,102387363824.0,27
RIV,Riverina,NSW/SA/VIC,145.063995,-34.94015,145.063995,-34.94015,96860225070.3,28
AVW,Avon Wheatbelt,WA,117.839649,-31.336493,117.839649,-31.336493,94775035245.4,29
NOK,Northern Kimberley,WA,126.586619,-15.366297,126.586619,-15.366297,90811421732.5,30
DAL,Dampierland,WA,124.121712,-18.315295,124.121712,-18.315295,88032309881.8,31
NSS,NSW South Western Slopes,NSW/VIC,147.967489,-34.274618,147.967489,-34.274618,86555305210.37,32
CAR,Carnarvon,WA,114.396385,-24.270538,114.396385,-24.270538,85429196302.9,33
SEH,South Eastern Highlands,ACT/NSW/VIC,149.383948,-35.76175,149.383948,-35.76175,83802716631.65,34
CEK,Central Kimberley,WA,126.459955,-17.178039,126.459955,-17.178039,81432214645.7,35
VIB,Victoria Bonaparte,NT/WA,129.705542,-15.262037,129.705542,-15.262037,78707276379.0,36
SEQ,South Eastern Queensland,NSW/QLD,152.364561,-26.955691,152.364561,-26.955691,78361095000.0,37
BRT,Burt Plain,NT,133.666903,-22.390676,133.666903,-22.390676,75469762807.3,38
MAL,Mallee,WA,120.568339,-33.114336,120.568339,-33.114336,73644400620.5,39
COP,Cobar Peneplain,NSW,146.500314,-32.259794,146.500314,-32.259794,73518275970.5,40
FIN,Finke,NT/SA,133.055284,-25.456406,133.055284,-25.456406,73251411740.5,41
DEU,Desert Uplands,QLD,145.547128,-22.223094,145.547128,-22.223094,71185242687.3,42
MII,Mount Isa Inlier,NT/QLD,139.487948,-20.332997,139.487948,-20.332997,70199527074.517,43
FLB,Flinders Lofty Block,SA,139.235481,-32.630138,139.235481,-32.630138,65870077883.1,44
EYB,Eyre Yorke Block,SA,136.098765,-33.379781,136.098765,-33.379781,60958977604.9,45
DMR,Davenport Murchison Ranges,NT,135.535047,-19.870867,135.535047,-19.870867,60306057910.3,46
BHC,Broken Hill Complex,NSW/SA,141.153852,-31.556845,141.153852,-31.556845,56088884327.2,47
YAL,Yalgoo,WA,115.944503,-28.012994,115.944503,-28.012994,50866431662.7,48
JAF,Jarrah Forest,WA,116.454793,-32.897182,116.454793,-32.897182,44912473705.0,49
MAC,MacDonnell Ranges,NT,132.744538,-23.772269,132.744538,-23.772269,39909225910.2,50
NNC,NSW North Coast,NSW,152.56824,-30.740668,152.56824,-30.65785,39794077634.3,51
CEA,Central Arnhem,NT,134.776447,-13.477159,134.621891,-13.477159,38091909360.2,52
ARC,Arnhem Coast,NT,136.176959,-12.596074,136.176959,-12.596074,37069690094.6,53
SYB,Sydney Basin,JBT/NSW,150.764749,-33.676248,150.764749,-33.676248,36149871111.0,54
VIM,Victorian Midlands,VIC,144.558848,-37.20027,144.558848,-37.20027,34810601674.3,55
DAC,Darwin Coastal,NT,130.285913,-13.128243,130.455129,-13.128243,31446321181.0,56
PCK,Pine Creek,NT,131.755116,-13.396515,131.804367,-13.517456,31375090534.5,57
GES,Geraldton Sandplains,WA,115.104476,-28.860499,115.104476,-28.860499,31373100660.6,58
NET,New England Tablelands,NSW/QLD,151.739664,-29.954956,151.466609,-30.038371,29915482204.74,59
ESP,Esperance Plains,WA,120.08757,-33.854064,120.08757,-33.854064,29103865510.5,60
GUC,Gulf Coastal,NT,136.271319,-15.661375,136.271319,-15.810197,29072326829.5,61
NAN,Nandewar,NSW/QLD,150.233138,-29.849042,150.506193,-29.849042,26935150202.8,62
ARP,Arnhem Plateau,NT,133.305034,-13.123766,133.241123,-13.123766,25472630269.5,63
SEC,South East Corner,NSW/VIC,149.762821,-36.594544,149.762821,-36.594544,25392877856.5,64
NCP,Naracoorte Coastal Plain,SA/VIC,140.233583,-36.954334,140.233583,-36.954334,24647698243.32,65
SVP,Southern Volcanic Plain,SA/VIC,143.136002,-37.623063,143.136002,-37.623063,24542200751.576,66
DAB,Daly Basin,NT,131.448193,-14.275391,131.448193,-14.154844,22811209495.2,67
WET,Wet Tropics,QLD,145.707578,-17.436768,145.707578,-17.436768,21034833326.0,68
SCP,South East Coastal Plain,VIC,143.234761,-38.423876,143.234761,-38.423876,17620178978.1,69
TWE,Tasmanian West,TAS,145.778612,-42.47055,145.778612,-42.333594,16114339949.5,70
SWA,Swan Coastal Plain,WA,115.888288,-31.960769,115.888288,-31.960769,15189444392.4,71
CMC,Central Mackay Coast,QLD,150.618988,-22.749506,150.618988,-22.749506,15068892056.1,72
AUA,Australian Alps,ACT/NSW/VIC,147.194195,-37.010621,147.194195,-37.010621,12353079761.026,73
TSE,Tasmanian South East,TAS,147.348869,-42.468286,147.348869,-42.473672,11661767211.6,74
TIW,Tiwi Cobourg,NT,130.971287,-11.557,130.971287,-11.557,11357699262.3,75
HAM,Hampton,SA/WA,127.519587,-31.929427,127.519587,-31.929427,10829400601.953,76
WAR,Warren,WA,115.875567,-34.359689,115.875567,-34.359689,8423793070.94,77
KAN,Kanmantoo,SA,137.341361,-35.809722,137.341361,-35.809722,8115538154.74,78
TCH,Tasmanian Central Highlands,TAS,145.938611,-41.789748,146.45384,-41.868905,7880209646.36,79
TSR,Tasmanian Southern Ranges,TAS,146.684566,-43.074108,146.684566,-42.804359,7823341396.02,80
BEL,Ben Lomond,TAS,147.833663,-41.159801,147.683579,-41.36328,6725684911.26,81
TNS,Tasmanian Northern Slopes,TAS,146.41111,-41.178088,146.318264,-41.399739,6373270275.51,82
FUR,Furneaux,TAS/VIC,148.225669,-40.407358,148.225669,-40.407358,5473924908.994,83
KIN,King,TAS,144.870319,-41.062336,144.963166,-41.062336,4336093887.1,84
TNM,Tasmanian Northern Midlands,TAS,147.577711,-41.833105,147.212567,-41.7397,4260013915.8,85
SAI,Subantarctic Islands,EXT,73.524486,-53.070366,73.524486,-53.070366,572939865.362,86
ITI,Indian Tropical Islands,EXT/WA,105.624542,-10.484666,105.624542,-10.484666,307738671.644,87
COS,Coral Sea,EXT,152.319645,-19.273775,152.319645,-19.273775,180803459.026,88
PSI,Pacific Subtropical Islands,EXT,167.942017,-29.01305,167.942017,-29.01305,57989306.272,89
